Company,Ticker,Industry Bucket,Category,Sub-Category
"Polar Power, Inc.",POLA,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Powell Industries, Inc.",POWL,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Preformed Line Products Company,PLPC,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"RF Industries, Ltd.",RFIL,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
SKYX Platforms Corp.,SKYX,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"Solidion Technology, Inc.",STI,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Stardust Power Inc.,SDST,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
T1 Energy Inc.,TE,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Tecogen Inc.,TGEN,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Ultralife Corporation,ULBI,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
Vertiv Holdings Co,VRT,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
"X-Energy, Inc.",XE,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
nVent Electric plc,NVT,"Industrials : Electrical, Automation & Grid Equipment",Industrials,Electrical & Automation
AECOM,ACM,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
APi Group Corporation,APG,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Ameresco, Inc.",AMRC,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Arcosa, Inc.",ACA,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Argan, Inc.",AGX,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Blink Charging Co.,BLNK,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Bowman Consulting Group Ltd.,BWMN,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Cadeler A/S,CDLR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Cardinal Infrastructure Group Inc.,CDNL,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Comfort Systems USA, Inc.",FIX,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Concrete Pumping Holdings, Inc.",BBCP,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Construction Partners, Inc.",ROAD,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"DirectBooking Technology Co., Ltd.",ZDAI,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Dycom Industries, Inc.",DY,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"EMCOR Group, Inc.",EME,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Energy Services of America Corporation,ESOA,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Everus Construction Group, Inc.",ECG,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Exponent, Inc.",EXPO,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
FBS Global Limited,FBGL,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Ferrovial N.V.,FER,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Fluor Corporation,FLR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Founder Group Limited,FGL,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Granite Construction Incorporated,GVA,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"IES Holdings, Inc.",IESC,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
INNOVATE Corp.,VATE,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Jacobs Solutions Inc.,J,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"KBR, Inc.",KBR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Legence Corp.,LGN,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
MYR Group Inc.,MYRG,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Magnitude International Ltd,MAGH,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"MasTec, Inc.",MTZ,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Masonglory Limited,MSGY,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Matrix Service Company,MTRX,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Megan Holdings Limited,MGN,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Ming Shing Group Holdings Limited,PMA,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Mint Incorporation Limited,MIMI,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
OFA Group,OFAL,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
OneConstruction Group Limited,ONEG,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Orion Group Holdings, Inc.",ORN,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Phoenix Asia Holdings Limited,PHOE,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Primoris Services Corporation,PRIM,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Quanta Services, Inc.",PWR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Reitar Logtech Holdings Limited,RITR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
SKK Holdings Limited,SKK,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Shimmick Corporation,SHIM,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Skyline Builders Group Holding Limited,KAZR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Southland Holdings, Inc.",SLND,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Stantec Inc.,STN,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Sterling Infrastructure, Inc.",STRL,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Tetra Tech, Inc.",TTEK,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Tutor Perini Corporation,TPC,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Willdan Group, Inc.",WLDN,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
AGCO Corporation,AGCO,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Aebi Schmidt Holding AG,AEBI,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Alamo Group Inc.,ALG,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Art's-Way Manufacturing Co., Inc.",ARTW,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Astec Industries, Inc.",ASTE,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Blue Bird Corporation,BLBD,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
CEA Industries Inc.,BNC,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
CNH Industrial N.V.,CNH,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Caterpillar Inc.,CAT,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Columbus McKinnon Corporation,CMCO,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Deere & Company,DE,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Federal Signal Corporation,FSS,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Gencor Industries, Inc.",GENC,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
GreenPower Motor Company Inc.,GP,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Huachen AI Parking Management Technology Holding Co., Ltd",HCAI,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Hydrofarm Holdings Group, Inc.",HYFM,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Hyster-Yale, Inc.",HY,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Lindsay Corporation,LNN,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Oshkosh Corporation,OSK,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
PACCAR Inc,PCAR,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Scage Future,SCAG,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Terex Corporation,TEX,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"The Manitowoc Company, Inc.",MTW,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Titan International, Inc.",TWI,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
Wabash National Corporation,WNC,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Xos, Inc.",XOS,Industrials : Heavy Equipment & Industrial Rentals,Industrials,Machinery & Industrial Components
"Applied Industrial Technologies, Inc.",AIT,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
BlueLinx Holdings Inc.,BXC,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"Core & Main, Inc.",CNM,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
DNOW Inc.,DNOW,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"DXP Enterprises, Inc.",DXPE,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"Distribution Solutions Group, Inc.",DSGR,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"EVI Industries, Inc.",EVI,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Fastenal Company,FAST,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Ferguson Enterprises Inc.,FERG,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Global Industrial Company,GIC,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"MSC Industrial Direct Co., Inc.",MSM,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Pool Corporation,POOL,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"QXO, Inc.",QXO,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"Resideo Technologies, Inc.",REZI,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"SiteOne Landscape Supply, Inc.",SITE,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Ten-League International Holdings Limited,TLIH,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
Titan Machinery Inc.,TITN,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"W.W. Grainger, Inc.",GWW,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"WESCO International, Inc.",WCC,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
WF International Limited,WXM,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"Watsco, Inc.",WSO,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"Xometry, Inc.",XMTR,Industrials : Industrial Distribution & Business Equipment,Industrials,Distribution & Diversified Industrials
"ITG, Inc.",ITG,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Innio N.V.,INIO,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Mobile Infrastructure Corporation,BEEP,Industrials : Diversified Industrials & Infrastructure,Industrials,Distribution & Diversified Industrials
Addentax Group Corp.,ATXG,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Armlogi Holding Corp.,BTOC,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
BingEx Limited,FLX,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"C.H. Robinson Worldwide, Inc.",CHRW,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Callan JMB Inc.,CJMB,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Cheetah Net Supply Chain Service Inc.,CTNT,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"Cryoport, Inc.",CYRX,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Eastern International Ltd.,ELOG,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"Expeditors International of Washington, Inc.",EXPD,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
FedEx Corporation,FDX,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"FedEx Freight Holding Company, Inc.",FDXF,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Forward Air Corporation,FWRD,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Freightos Limited,CRGO,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"GXO Logistics, Inc.",GXO,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Globavend Holdings Limited,GVH,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Haoxin Holdings Limited,HXHX,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"Hub Group, Inc.",HUBG,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"J.B. Hunt Transport Services, Inc.",JBHT,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Jayud Global Logistics Limited,JYD,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Lakeside Holding Limited,LSH,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"Landstar System, Inc.",LSTR,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
New Century Logistics (BVI) Limited,NCEW,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
PS International Group Ltd.,PSIG,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Pitney Bowes Inc.,PBI,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"Proficient Auto Logistics, Inc.",PAL,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"Radiant Logistics, Inc.",RLGT,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Shengfeng Development Limited,SFWL,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Singularity Future Technology Ltd.,SGLY,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Smart Logistics Global Limited,SLGB,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"Tianci International, Inc.",CIIT,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"United Parcel Service, Inc.",UPS,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
ZTO Express (Cayman) Inc.,ZTO,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Ardmore Shipping Corporation,ASC,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
C3is Inc.,CISS,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Capital Clean Energy Carriers Corp.,CCEC,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Castor Maritime Inc.,CTRM,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Costamare Bulkers Holdings Limited,CMDB,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Costamare Inc.,CMRE,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Danaos Corporation,DAC,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Diana Shipping Inc.,DSX,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
EuroDry Ltd.,EDRY,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Euroholdings Ltd.,EHLD,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Euroseas Ltd.,ESEA,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Genco Shipping & Trading Limited,GNK,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
"Global Ship Lease, Inc.",GSL,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Globus Maritime Limited,GLBS,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Hafnia Limited,HAFN,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Heidmar Maritime Holdings Corp.,HMR,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
High-Trend International Group,HTCO,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Himalaya Shipping Ltd.,HSHP,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Icon Energy Corp.,ICON,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Intercont (Cayman) Limited,NCT,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Kirby Corporation,KEX,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
"Matson, Inc.",MATX,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Navios Maritime Partners L.P.,NMM,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
OceanPal Inc.,SVRN,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Okeanis Eco Tankers Corp.,ECO,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Pangaea Logistics Solutions Ltd.,PANL,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Performance Shipping Inc.,PSHG,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Rubico Inc.,RUBI,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
SEACOR Marine Holdings Inc.,SMHI,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
SFL Corporation Ltd.,SFL,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
"Safe Bulkers, Inc.",SB,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Seanergy Maritime Holdings Corp.,SHIP,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Star Bulk Carriers Corp.,SBLK,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
StealthGas Inc.,GASS,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Uni-Fuels Holdings Limited,UFG,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
United Maritime Corporation,USEA,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
Vantage Corp,VNTG,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
ZIM Integrated Shipping Services Ltd.,ZIM,Industrials : Marine Transportation,Industrials,"Freight, Rail & Marine Logistics"
ATI Inc.,ATI,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Ampco-Pittsburgh Corporation,AP,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Carpenter Technology Corporation,CRS,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Commercial Metals Company,CMC,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
ESAB Corporation,ESAB,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
"GPGI, Inc.",GPGI,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Highway Holdings Limited,HIHO,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Insteel Industries Inc.,IIIN,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
"Mayville Engineering Company, Inc.",MEC,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Mingteng International Corporation Inc.,MTEN,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
"Mueller Industries, Inc.",MLI,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Olenox Industries Inc.,OLOX,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
"Proto Labs, Inc.",PRLB,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Ryerson Holding Corporation,RYZ,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
TechPrecision Corporation,TPCS,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Tredegar Corporation,TG,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
Tungray Technologies Inc.,TRSG,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
"Worthington Enterprises, Inc.",WOR,Industrials : Industrial Machinery & Components,Industrials,Machinery & Industrial Components
374Water Inc.,SCWO,Industrials : Environmental & Waste Services,Industrials,Environmental Services
Aduro Clean Technologies Inc.,ADUR,Industrials : Environmental & Waste Services,Industrials,Environmental Services
"Arq, Inc.",ARQ,Industrials : Environmental & Waste Services,Industrials,Environmental Services
Birchtech Corp.,BCHT,Industrials : Environmental & Waste Services,Industrials,Environmental Services
CECO Environmental Corp.,CECO,Industrials : Environmental & Waste Services,Industrials,Environmental Services
"CleanCore Solutions, Inc.",ZONE,Industrials : Environmental & Waste Services,Industrials,Environmental Services
ClearSign Technologies Corporation,CLIR,Industrials : Environmental & Waste Services,Industrials,Environmental Services
"Energy Recovery, Inc.",ERII,Industrials : Environmental & Waste Services,Industrials,Environmental Services
Euro Tech Holdings Company Limited,CLWT,Industrials : Environmental & Waste Services,Industrials,Environmental Services
"Fuel Tech, Inc.",FTEK,Industrials : Environmental & Waste Services,Industrials,Environmental Services
"LiqTech International, Inc.",LIQT,Industrials : Environmental & Waste Services,Industrials,Environmental Services
"PureCycle Technologies, Inc.",PCT,Industrials : Environmental & Waste Services,Industrials,Environmental Services
"Rain Enhancement Technologies Holdco, Inc.",RAIN,Industrials : Environmental & Waste Services,Industrials,Environmental Services
"TOMI Environmental Solutions, Inc.",TOMZ,Industrials : Environmental & Waste Services,Industrials,Environmental Services
Veralto Corporation,VLTO,Industrials : Environmental & Waste Services,Industrials,Environmental Services
Zurn Elkay Water Solutions Corporation,ZWS,Industrials : Environmental & Waste Services,Industrials,Environmental Services
CSX Corporation,CSX,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Canadian National Railway Company,CNI,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Canadian Pacific Kansas City Limited,CP,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"FreightCar America, Inc.",RAIL,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
L.B. Foster Company,FSTR,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Norfolk Southern Corporation,NSC,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Rail Vision Ltd.,RVSN,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Swvl Holdings Corp.,SWVL,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"The Greenbrier Companies, Inc.",GBX,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
"Trinity Industries, Inc.",TRN,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Union Pacific Corporation,UNP,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
Westinghouse Air Brake Technologies Corporation,WAB,"Industrials : Freight, Logistics & Rail",Industrials,"Freight, Rail & Marine Logistics"
